path,labels,total,n_samples,sampling_rate,duration
nep_3960_9002403130,कैलाली र सुर्खेतको सिमानामा पर्ने कुइने घाट नामक स्थानमा आएर यो नदीमा सुर्खेत तिरबाट आएको भेरी नि नदी मिसिन पुग्छ,113,216502,22050,9
nep_3997_0733640114,सिन्धुपाल्चोक जिल्ला अस्पतालको भवन भत्केका कारण सेवा प्रदान गर्न निकै गाह्रो भएको कुरा अस्पताल प्रशासनले जनाएको छ,113,184272,22050,8
dc3aadb9ea,ठुलोधादिङ नेपालको मध्यमाञ्चल विकासक्षेत्र बाग्मती अञ्चलको सिन्धुपाल्चोक जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,112,191835,22050,8
nep_3997_3549709585,पहिलो चरणमा भद्रपुरदेखि नेपालगञ्जसम्म आठ सय अन्ठानब्बे किलोमिटर अप्टिकल फाइबर बिछ्याइएको नेपाल टेलिकमले जनाएको छ,112,167514,22050,7
nep_6834_1201806783,मई अठार सय बाहुन्नमा अनेक बेलायत आयरल्यान्ड महाद्वीपीय युरोप उत्तरी अमेरिका र चीनका अनेक अप्रवासी अस्ट्रेलिया आए,112,223610,22050,10
nep_2099_2261012064,खासगरी पोखरा उपत्यका भराभरीदेखि कोत्रेखोलासम्म अन्य विजयपुर दोभान स्याङखुदी खोलाहरूको तल्लो भाग ज्यादै विस्तृत छ,112,206190,22050,9
nep_6834_0037896619,विपना थापा निरुता सिंह मौसमी मल्ल तृप्ति नाडकर जस्ता नायिकाहरू नेपाली सिनेनगरीमा कुनै बेला निकै चलेका नायिका थिए,112,234539,22050,10
addc30246f,नरेन्द्र दाइ विश्वेश्वरप्रसाद कोइरालाद्वारा लेखिएको र साझा प्रकाशनले बजारमा ल्याएको एक नेपाली भाषाको उपन्यास हो।,112,196245,22050,8
nep_6587_3094318824,इन्टेल कर्पोरेसन र सिएनएनको संयुक्त पहलमा निर्माण गरिएको यो फिल्ममा हलिउड प्रसिद्ध अभिनेत्रीहरुले स्वर दिएकी छन्,112,169587,22050,7
nep_6834_4722070245,सर्वोच्च अदालतमा परेका मुद्दामामिलाहरूमध्ये संयुक्त इजलासका न्यायाधीसहरूको राय नमिलेको मुद्दामा समावेश भएकै छैन,111,224910,22050,10
nep_0883_6440912992,अन्टार्क्टिका एउटा ठुलो महादेश हो अर्थात् यो एउटा भूमिको ठुलो भाग हो यो महादेश विश्वको दक्षिण क्षेत्रमा स्थित छ,111,191233,22050,8
nep_2099_8711816408,चुनावद्वारा कम्युनिस्ट पार्टी सत्तामा आउनु विभिन्न पार्टीहरूका मोर्चाहरूको राजनीतिक प्रयोग पहिलो पल्ट केरलमा भए,111,188969,22050,8
01f1fa026d,पर्रोहा नेपालको पश्चिमाञ्चल विकास क्षेत्रको लुम्बिनी अञ्चल रूपन्देही जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,111,231525,22050,10
nep_0546_8473471222,किष्ट बैङ्क लिमिटेड प्रभु विकास बैङ्क लिमिटेड गौरीशंकर डेभलपमेण्ट बैङ्क लिमिटेड  र जेनिथ फाइनान्स लिमिटेड गाभिए,111,158503,22050,7
nep_3960_5547039951,नेपालको पोखरा बाग्लुङ सडक राजमार्गलाई नेपालका प्रसिद्ध नेपाली आधुनिक कवि भुपी शेरेचनको नाममा नामाङ्कित गरिएको छ,111,196018,22050,8
nep_3960_1010928448,सुर्खेत उपत्यकाको सुर्खेत जिल्लमा रहेको बिरेन्द्रनगर मध्य पश्चिम विकास क्षेत्र तथा सुर्खेत जिल्लाको सदरमुकाम हो,111,187220,22050,8
nep_2099_2575893683,सबैको सहमति सक्रियतामा निर्धारित समयभित्रै नयाँ संविधान निर्माण हुनुपर्छ भन्ने कुरामा उहाँ विशेष जोड दिनुहुन्छ,110,179958,22050,8
nep_0546_8029002129,पोर्चुगलीहरूले भारतको गोवालाई उपनिवेश बनाएपछि मकाउले पनि त्यसको अनुसरण गर्दै दक्षिणी चीनमा आफ्नो उपनिवेश बनायो,110,195025,22050,8
nep_3614_7301704757,आफ्नो अभिव्यक्तिका क्रममा मैले आफूलाई तपाईँसामु सभ्य शिक्षित आदर्श उच्चवर्गले प्रस्तुत गर्ने ढोँगहरू रचेको छैन,110,207293,22050,9
f40550a1be,उनका पिता सिकन्दर स्टर्लिंङ क्याल्डर कुशल मूर्तिकारका रूपमा चिनिन्छन् जसले धेरै सार्वजनिक प्रतिष्ठानहरू बनाए ।,110,211680,22050,9
nep_0546_5273088105,अस्ट्रिया इटाली जर्मनी बेलायत स्लोभेनिया आदि विभिन्न राष्ट्रहरूबाट पनि सहयोग प्राप्त हुने सिलसिला जारी रहेको छ,110,213305,22050,9
ee7952b780,भीरको खोँचमा गाडिएको अवस्थामा मानव अधिकारकर्मी र सुरक्षाकर्मीले खाल्डो खनेर एकएक अस्थिपञ्जर सङ्कलन गरेका थिए।,109,220500,22050,10
nep_2099_0974456682,स्पेनी क्लब बार्सिलोना र क्रोएसिया राष्ट्रिय टिमका लागि केन्द्रिय वा आक्रामक मिडफिल्डरको रूपमा खेल्ने गर्दछन्,109,171358,22050,7
nep_0546_3625614428,बौद्ध वंशावलीहरूमा सातौँ किराँती राजा जितेदास्तीको समयमा गौतम बुद्ध नेपाल खाल्डोमा आएको प्रसङ्ग उल्लेख पाइन्छ,109,196451,22050,8
nep_6834_4221213554,सन् सोह्र सय छमा अस्ट्रेलिया पुगेका डच नाविक विलेम जैन्सजुन यहाँ निर्विरोध उत्रिने पहिलो युरोपेली व्यक्ति थिए,109,218200,22050,9
nep_0546_8860380762,गोरखा जिल्लाको सदरमुकाम पृथ्वीनारायण नगरपालिका गोरखा बजारमा रहेको गोरखा अस्पताल यो क्षेत्रको मुख्य अस्पताल हो,109,189138,22050,8
104f32b330,पृथ्वीको सम्भावित क्षेत्र अनिवार्य रूपले यसको स्थलाकृतिका विशेषताहरूद्वारा अलग गरिएको पृथ्वीको रेखा चित्र हो।,109,191835,22050,8
nep_3960_8902655104,सुर्खेत विमानस्थल नेपालको राजधानी काठमाडौँबाट सात सय किमी टाढा सुर्खेत उपत्यकाको वीरेन्द्रनगर सहरसँगै रहेको छ,109,207697,22050,9
nep_0283_6656084051,सुविधा सम्पन्न व्यापारिक कम्लेक्स तथा मलहरू खुल्ने क्रम बढ्दो छ यही क्रममा दरबारमार्गस्थित राइजिङ मल खुलेको छ,109,220206,22050,9
19957656bd,नेपाल एकिकरण अभियान जहाँ पुग्थ्यो त्यहिँका नेपालीहरू त्यसभन्दा अगाडिको विजय अभियानका लागि सहभागी हुने गर्थे।,108,207270,22050,9
nep_0649_1055199537,स्पेन पोर्चुगल पर्सियाका केही क्षेत्रहरूमा स्थापित इस्लाम धर्म खिलाफतको थालनी सय छ सय चालीस ई ताका भएको थियो,108,189902,22050,8
231e977c0d,खिच्रो पकाएर गरीबगुरुबालाई दान गर्नाले यस नक्षत्रमा जन्म लिने मानवको कल्याण हुने कुरा ज्योतिषीहरू बताउँदछन्।,108,222705,22050,10
nep_2099_4941967874,उहाँकै प्रयासमा उत्तर कोरियाको फिल्म कम्पनीले उत्तर कोरियाको इतिहासबारे एकसय भागको धारावाहिक श्रृंखला बनाएको,108,200332,22050,9
nep_0283_3759375127,सौर्य अन्तर्राष्ट्रिय उच्च माध्यमिक विद्यालय र कलेजको विगत त्यति राम्रो छैन तर वर्तमानमा निकै प्रगति गरेको छ,108,207579,22050,9
nep_2099_7913051626,कालीमाटी काल्चे नेपालको मध्यपश्चिमाञ्चल विकासक्षेत्रको राप्ती अञ्चलको सल्यान जिल्लामा पर्ने गाँउ विकास समिति,108,198032,22050,8
nep_0546_0659548622,केरलका वैद्य परम्परामा आयुर्वेद विद्यालयहरूका स्तानकहरूदेखि पुर्ख्यौली पेसाको रूपमा भएका वैद्य पनि सामेल छन्,108,184728,22050,8
nep_0546_3911026041,किच्चक वधको उत्खननमा पुरातात्विक सामाग्री फेला परेकोले एउटा सभ्यताको विनास अर्को सभ्यताको विकास भएको बताइन्छ,108,168330,22050,7
nep_2099_9388019921,किम सन् उन्नाइस सय चौरानब्बेमा उत्तर कोरियाको सत्तामा आएका किम कम्युनिस्ट नेताको रूपमा विश्वचर्चित हुनुहुन्छ,108,187712,22050,8
7dcb7d6852,जमुनी नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्र भेरी अञ्चलको बर्दिया जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,107,171990,22050,7
1b6745d4ba,कार्कीबाडा नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रको कर्णाली अञ्चल मुगु जिल्लामा अवस्थित गाउँ विकास समिति हो।,107,183015,22050,8
nep_0283_0766374282,तिला जुम्ला जिल्लाको पूर्वी भागबाट पश्चिम हुँदै कालिकोट जिल्लामा प्रवेश गरी सेरीगाड नजिकै कर्णालीमा मिसिन्छ,107,232650,22050,10
nep_2099_8821503375,उत्तर कोरियाका अधिकारीलाई किम उनलाई उत्तर कोरियाली भावी नेताका रूपमा स्विकार्न खुफिया एजेन्सीले बताएको थियो,107,199450,22050,9
nep_0546_3785618587,गौतम बुद्ध विमानस्थल नेपालको राजधानी काठमाडौँबाट दुई सय नब्बे किलोमिटर टाढा सिदार्थनगरमा रहेको विमानस्थल हो,107,189344,22050,8
nep_0546_2261491734,कार्यालयका निमित्त प्रमुख लोकराज पन्त र सूचना अधिकृत शर्मा रक्सौलमा रहेको भारतीय भन्सार कार्यालयमा गएका थिए,107,174636,22050,7
6b99163233,थकनी नेपालको मध्यमाञ्चल विकास क्षेत्र बागमती अञ्चलको सिन्धुपाल्चोक जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,107,238140,22050,10
nep_6834_2094802767,सन् उन्नाइस सय तिहत्तर मा फिलिपिन्सको राजधानी मनिलामा आयोजित ट्रयाक एन्ड फिल्ड प्रतियोगितामा सहभागी हुनुभयो,107,197091,22050,8
nep_3960_8036214952,सुस्मा कोइराला मोमोरीयल प्लास्टिक सर्जरी अस्पतालमा भनेजस्तो गरी काम नभए पनि यो आफ्नो मार्गमा अघि बढिरहेको छ,107,186330,22050,8
nep_3960_1782708044,उच्च माध्यमिक शिक्षा परिषद्ले न्यु समिट उच्च माध्यमिक विद्यालयमा हालै गरेको अनुगमनका क्रममा यस्तो पाइएको हो,107,179973,22050,8
nep_0883_3724821053,यहाँको जिम्नास्ट्सलाई तेत्तीसौँ ट्युलिट पिटर स्मारक कप दुई हजार सात हङ्गेरीमा दुई स्वर्ण पदक प्राप्त भएको छ,107,202184,22050,9
nep_3960_0029376226,चलचित्रमा विराज भट्ट नायक रहे पनि रोमान्टिक नायकका रूपमा आर्यन सिग्देल पहिलो पटक ठुलो पर्दामा देखा पर्दैछन्,107,184405,22050,8
nep_3614_2778765317,मर्कन्टाइल कम्युनिकेसन्सले अनलाइन पत्रकारितामा पुर्‍याएको योगदानलाई त्यति सहज र हलुका रूपमा भने लिन मिल्दैन,107,159951,22050,7
b06af5704f,देउसा नेपालको पूर्वाञ्चल विकास क्षेत्र सगरमाथा अञ्चलको सोलुखुम्बु जिल्लामा अवस्थित एक गाउँ विकास समिति हो।,106,227115,22050,10
nep_2099_2272015924,धातु माटोका खेलौना मोहनजोदाडो हडप्पाका झैँ यहाँबाट प्राप्त भएका छन् बच्चाहरूका मनोरञ्जन प्रनि आकर्षण हुन्छ,106,189461,22050,8
nep_6834_1520360646,कुञ्जना घिमिरे एक नेपाली हास्य कलाकार अभिनेत्री हुन् उनी मेरी बास्सै नामक एक कार्यक्रमबाट चर्चित भएकी हुन्,106,205742,22050,9
nep_2099_2396757575,चिली राष्ट्रिय फुटबल टिम र वारेन म्युनिखका लागि मिडफिल्डर फुटबलरको जन्म बाइस मे उन्नाइस सय सतासीमा भएको हो,106,217854,22050,9
nep_2099_7353901615,त्यतिबेलासम्म मरेका जनावरहरू यत्रतत्र फैलिएका हुने जहाँताहाँ मानव परजीविहरू हुने अवस्था एकदमै सामान्य थियो,106,232216,22050,10
nep_0546_7016402255,गैँडाकोत र गैँडाकोट दुईवटा नामहरू उस्तै भएपनि पहिलो गुल्मी जिल्लामा पर्दछ र दोस्रो नवलपरासी जिल्लामा पर्दछ,106,194173,22050,8
056491ea94,कलाशास्त्रमा प्रमाणपत्र तहसम्मको अध्ययन गर्नुभएकी खनाल बेपत्ता परिवार कोचिला राज्यको संयोजक पनि हुनुहुन्छ।,106,231525,22050,10
nep_2099_5839248117,यी सबै आधारबाट महिषपाल वंशका अन्तिम राजा भुवन सिंहलाई पराजित किराँतहरूले आफ्नो राज्य स्थापना गरेको देखिन्छ,106,190277,22050,8
nep_0546_5059471688,किच्चकवध विकासको गुरुयोजना तयार गर्ने क्षेत्रलाई आन्तरिक बाह्य पर्यटकको गन्तब्य स्थल बनाउन सकिने निश्चित छ,106,170565,22050,7
028f9594fd,गोला नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्र भेरी अञ्चलको बर्दिया जिल्लामा अवस्थित एउटा गाउँ विकास समिति हो।,106,196245,22050,8
nep_0283_5380400568,ज्ञानकुन्ज उच्च माध्यमिक विद्यालय र कलेजमा धेरै विद्यार्थीको भिड लाग्नाले आफ्नो क्षमता बढाउनु पर्ने भएको छ,106,212041,22050,9
nep_3960_3980936255,केही चालिस देखि पचास सशस्त्र चेचेन्सद्वारा तेइस अक्टोबर दुई हजार दुईमा खचाखच भरिएको डब्रोब्का थिएटरको जफती,106,230563,22050,10
nep_3960_3736501700,डिजिटल म्याक्स सलुसन्सले आफू आजको बजारमा प्रतिस्पर्धा गर्न तयार रहेको कुरा पत्रकार सम्मेलन मार्फत जनाएको छ,106,196275,22050,8
nep_2099_8370370643,यसरी प्याङको छुट्टै पहिचान बनाइसकेको ती नाचको परम्परा समयको कालखण्डमा अस्तित्वमै नभएको दुःखलाग्दो विषय भयो,106,219075,22050,9
631c014612,प्युठान जिल्ला एक परिचय प्युठान जिल्ला नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रमा अवस्थित एक पहाडी जिल्ला हो।,106,171990,22050,7
nep_0546_9588696681,उत्तरको अग्लो अन्नपूर्ण श्रृङ्खला सँधै हिउँले ढाकी रहन्छ एघार वटा विभिन्न हिमशिखरहरू मिटरभन्दा बढी उचाइका,105,159231,22050,7
nep_6834_7347847874,यस चलचित्रमा अनुभव रेग्मी आर्यन सिग्देल सञ्चिता लुइटेल प्रियंका कार्की सुरज सिंह ठकुरी मुख्य भूमिकामा छन्,105,219177,22050,9
nep_0283_4618089463,शीतल बुक्स एन्ड स्टेसनरी सेन्टरले धेरै पुराना पुस्तकहरू स्कुलको पुस्तकालयलाई अनुदान स्वरूप प्रदान गरेको छ,105,207667,22050,9
nep_3997_3180916082,चितवन राष्ट्रिय निकुञ्जमा सबै खाल्का पर्यटकहरूले मनोरञ्जन प्राप्त गर्न सक्ने हुनाले यो विश्वभर प्रसिद्ध छ,105,179899,22050,8
bb1fc2ac82,यसको उपाय राति सुत्ने बेलामा सिरानीमुनि पाँचवटा मुला राखेर बिहानै भगवान् शिवको मन्दिरमा अर्पण गर्नुपर्दछ।,105,213885,22050,9
nep_2099_8937187845,पर्यटककै सुविधाका लागि हाल सो क्षेत्रमा सार्वजनिक सौचालय बिजुली बत्ती खानेपानीको राम्रो व्यवस्था गरिएको छ,105,209924,22050,9
nep_6834_3147741410,सन् सत्र सय छयहत्तरमा स्विडेनका राजा गुस्ताव तृतीयको आफ्नो देशका लागि स्वान रिभर उपनिवेश बनाउने आकाङ्क्षा,105,210887,22050,9
nep_0546_8384971968,सिद्धि गणेश इलेक्‍ट्रिक एन्ड हार्डवेयरले विभिन्न किसिमका निर्माण सामग्रीहरूको बिक्री वितरण गर्दै आएका छन्,105,155526,22050,7
nep_0546_8677425651,गायक फत्तेमान राजभण्डारी साह्रै बिरामी परेको खबर आएको धेरै दिन नबित्दै आज एकाबिहानै उनको मृत्युको खबर आयो,105,157401,22050,7
nep_0546_0712459277,काठमाडौँ हवाइमार्गबाट पन्ध्र मिनेटको दूरीमा अवस्थित तथा सिमरा विमानस्थलबाट अत्यन्त नजिकैको सहर वीरगञ्ज हो,105,181803,22050,8
